2026-01-09 00:30:22.180 -06:00 [INF] HonestWork Loaded. Logging Initialized.
2026-01-09 00:44:07.928 -06:00 [INF] TownJobBehavior Added.
2026-01-09 00:44:07.928 -06:00 [INF] VillageLaborBehavior Added.
2026-01-09 00:44:07.929 -06:00 [INF] CastleJobBehavior Added.
2026-01-09 00:44:21.076 -06:00 [INF] HonestWork: Castle Menus Initialized.
2026-01-09 00:44:21.076 -06:00 [INF] VillageLaborBehavior: Initializing Menus...
2026-01-09 00:44:21.077 -06:00 [INF] VillageLaborBehavior: Menus Initialized.
2026-01-09 00:44:21.078 -06:00 [INF] HonestWork Game Menus initialized successfully.
2026-01-09 00:48:38.505 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 11ms
2026-01-09 00:48:39.367 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 6ms
2026-01-09 00:48:40.210 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 7ms
2026-01-09 00:48:40.991 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 6ms
2026-01-09 00:48:41.825 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 9ms
2026-01-09 00:48:42.649 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 8ms
2026-01-09 00:48:43.673 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 10ms
2026-01-09 00:48:44.592 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 7ms
2026-01-09 00:49:13.228 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 10ms
2026-01-09 00:49:14.026 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 6ms
2026-01-09 00:49:14.839 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 11ms
2026-01-09 00:49:15.723 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 10ms
2026-01-09 00:49:16.534 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 6ms
2026-01-09 00:49:17.347 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 9ms
2026-01-09 00:49:18.228 -06:00 [WRN] [LAG SPOKE] HonestWork TownJobBehavior.OnHourlyTick took 8ms
